Greater melbourne council,LGA,Greater melbourne  LGA,Municipality Names
Banyule City,Banyule,BANYULE,Banyule City Council
Bayside City,Bayside,BAYSIDE,Bayside City Council
Boroondara City,Boroondara,BOROONDARA,Boroondara City Council
Darebin City,Darebin,DAREBIN,Darebin City Council
Glen Eira City,Glen Eira,GLEN EIRA,Glen Eira City Council??
Maribyrnong City,Maribyrnong,MARIBYRNONG,Maribyrnong City Council
Monash City,Monash,MONASH,Monash City Council
Melbourne City,Melbourne,MELBOURNE,Melbourne City Council
Moonee Valley City,Moonee Valley,MOONEE VALLEY,Moonee Valley City Council
Moreland City,Moreland,MORELAND,Moreland City Council
Port Phillip City,Port Phillip,PORT PHILLIP,Port Phillip City Council
Stonnington City,Stonnington,STONNINGTON,Stonnington City Council
Whitehorse City,Whitehorse,WHITEHORSE,Whitehorse City Council
Yarra City,Yarra,YARRA,Yarra City Council
Brimbank City,Brimbank,BRIMBANK,Brimbank City Council
Cardinia City,Cardinia,CARDINIA,?Cardinia City Council
Casey City,Casey,CASEY,Casey City Council
Frankston City,Frankston,FRANKSTON,Frankston City Council
Greater Dandenong City,Greater Dandenong,GREATER DANDENONG,Greater Dandenong City Council
Hobsons Bay City,Hobsons Bay,HOBSONS BAY,Hobsons Bay City Council
Hume City,Hume,HUME,Hume City Council
Kingston City,Kingston,KINGSTON,Kingston City Council
Knox City,Knox,KNOX,Knox City Council
Manningham City,Manningham,MANNINGHAM,Manningham City Council
Maroondah City,Maroondah,MAROONDAH,Maroondah City Council
Melton City,Melton,MELTON,Melton City Council
Mitchell Shire,Mitchell,MITCHELL,Mitchell Shire Council
Mornington Peninsula Shire,Mornington Peninsula,MORNINGTON PENINSULA,Mornington Peninsula Shire Council
Nillumbik Shire,Nillumbik,NILLUMBIK,Nillumbik Shire Council
Whittlesea City,Whittlesea,WHITTLESEA,Whittlesea City Council
Wyndham City,Wyndham,WYNDHAM,Wyndham City Council
Yarra Ranges Shire,Yarra Ranges,YARRA RANGES,Yarra Ranges Shire Council
